GeneID Module chr start end
1 ENSG00000248121.4 turquoise 17 30600796 30615980
2 ENSG00000264644.1 turquoise 18 9678248 9679493
3 ENSG00000257010.1 turquoise NA NA NA
4 ENSG00000213816.3 turquoise 9 42972386 42973289
5 ENSG00000215867.4 turquoise 1 111648291 111649544
6 ENSG00000233324.1 turquoise 20 18782424 18783690
7 ENSG00000236430.1 turquoise 1 203872574 203874187
8 ENSG00000232203.3 turquoise 9 31253901 31254777
9 ENSG00000269304.1 turquoise 19 57826461 57826778
10 ENSG00000233503.1 turquoise 6 7481094 7482594
11 ENSG00000224419.1 turquoise 13 90230384 90231682
12 ENSG00000227527.2 turquoise 1 42335386 42338376
13 ENSG00000250148.1 turquoise 5 60743563 60744970
14 ENSG00000266978.1 turquoise 19 10252268 10285108
15 ENSG00000251596.1 turquoise 4 165404067 165406350
16 ENSG00000213539.4 turquoise 9 109532830 109534332
17 ENSG00000269032.1 turquoise 19 58586158 58586356
18 ENSG00000236468.1 turquoise 1 199387141 199388475
19 ENSG00000228264.1 turquoise 1 154414369 154415137
20 ENSG00000218153.2 turquoise 6 116457323 116458669
21 ENSG00000259169.1 turquoise 14 60398934 60400013
22 ENSG00000215819.3 turquoise 1 214532195 214533467
23 ENSG00000223529.1 turquoise 3 184026369 184027756
24 ENSG00000271602.1 turquoise 11 4722740 4724171
25 ENSG00000243781.1 turquoise 1 237926831 237927605
26 ENSG00000230364.1 turquoise 1 171683128 171684438
27 ENSG00000178596.10 turquoise 1 94302038 94303022
28 ENSG00000213493.3 turquoise 4 116598161 116599611
29 ENSG00000230716.3 turquoise 11 119602875 119604306
30 ENSG00000214255.4 turquoise 18 70430231 70431125
31 ENSG00000241416.1 turquoise 3 170495627 170496636
32 ENSG00000248626.1 turquoise 5 159950493 159951498
33 ENSG00000259565.2 turquoise 15 76979245 76980451
34 ENSG00000213352.3 turquoise 12 62755227 62756233
35 ENSG00000251340.1 turquoise 5 94569540 94570676
36 ENSG00000244722.1 turquoise 3 110682286 110683154
