GeneName GeneCluster chr start end
1 ENSG00000110514 1 11 47269161 47330031
2 ENSG00000184709 1 9 137168758 137170051
3 ENSG00000241860 1 1 141474 173862
4 ENSG00000161021 1 5 179732850 179796511
5 ENSG00000183864 1 22 41433492 41447023
6 ENSG00000198246 1 10 71319258 71363385
7 ENSG00000237289 1 15 43593054 43604901
8 ENSG00000183248 1 19 7868719 7874379
9 ENSG00000234636 1 X 40735400 40738701
10 ENSG00000132749 1 11 68707440 68751564
11 ENSG00000166851 1 16 23677656 23690367
12 ENSG00000225526 1 3 12514934 12561059
13 ENSG00000272016 1 NA NA NA
14 ENSG00000105409 1 19 41966582 41997497
15 ENSG00000165388 1 NA NA NA
16 ENSG00000230778 1 15 40281444 40282586
17 ENSG00000086758 1 X 53532096 53686729
18 ENSG00000168539 1 11 62908679 62921807
19 ENSG00000227518 1 9 27657 30891
20 ENSG00000162073 1 16 2969245 2973489
21 ENSG00000176749 1 17 32486619 32491256
22 ENSG00000244242 1 11 1732410 1750591
23 ENSG00000268913 1 NA NA NA
24 ENSG00000141579 1 17 82829435 82840578
25 ENSG00000263563 1 17 22202995 22205154
26 ENSG00000104889 1 19 12806580 12813638
27 ENSG00000103056 1 16 68358325 68448688
28 ENSG00000204624 1 1 11479166 11537584
29 ENSG00000163516 1 2 219229757 219236669
30 ENSG00000198331 1 11 125883614 125900648
31 ENSG00000160796 1 3 46979683 47009703
32 ENSG00000095066 1 19 12763003 12872740
33 ENSG00000268218 1 16 89268104 89273044
34 ENSG00000148840 1 10 102132994 102150331
35 ENSG00000205822 1 13 24408157 24597676
36 ENSG00000239467 1 2 170771113 170778148
37 ENSG00000157837 1 12 120762510 120904371
38 ENSG00000113763 1 5 176810477 176880895
39 ENSG00000142599 1 1 8352397 8817643
40 ENSG00000131504 1 5 141515016 141619055
41 ENSG00000217325 1 6 126643488 126644390
42 ENSG00000183246 1 22 21545357 21551461
43 ENSG00000111291 1 12 12940775 12952147
44 ENSG00000189143 1 7 73799542 73832693
45 ENSG00000025770 1 22 50508216 50523472
46 ENSG00000095397 1 9 114402080 114505450
47 ENSG00000131398 1 19 50311937 50333515
48 ENSG00000180178 1 2 129990456 130051131
49 ENSG00000213394 1 7 101203614 101204495
50 ENSG00000213397 1 X 153447666 153495516
51 ENSG00000167978 1 16 2752329 2772538
52 ENSG00000124226 1 20 49936336 49953892
53 ENSG00000174669 1 11 66362521 66372214
54 ENSG00000122515 1 7 44748581 44769881
55 ENSG00000261235 1 16 82044336 82139631
56 ENSG00000165731 1 10 43077027 43130351
57 ENSG00000066923 1 7 100177563 100221488
58 ENSG00000102870 1 16 30778449 30787202
59 ENSG00000173801 1 17 41754604 41786931
60 ENSG00000151025 1 10 25175062 25602226
61 ENSG00000006047 1 17 7288252 7294615
62 ENSG00000187833 1 2 73784189 73817147
63 ENSG00000198569 1 9 137230757 137236554
64 ENSG00000154217 1 17 67377281 67697261
65 ENSG00000230724 1 11 127204 139612
66 ENSG00000270168 1 16 2988256 3002016
67 ENSG00000130816 1 19 10133345 10231286
68 ENSG00000231802 1 2 219684030 219684795
69 ENSG00000134222 1 1 109279556 109283186
70 ENSG00000135577 1 6 142058330 142088799
71 ENSG00000138668 1 4 82352498 82374503
72 ENSG00000054179 1 9 137048098 137054045
73 ENSG00000140948 1 16 87406246 87492045
74 ENSG00000175262 1 1 10946471 10982037
75 ENSG00000175267 1 16 22092538 22156966
76 ENSG00000127554 1 16 1984207 1987749
77 ENSG00000197111 1 12 53452102 53481162
78 ENSG00000065320 1 17 9021542 9244000
79 ENSG00000265692 1 17 82290046 82292814
80 ENSG00000142039 1 19 41310189 41324883
81 ENSG00000070423 1 19 647526 663277
82 ENSG00000159871 1 19 43795929 43827206
